student_id,student_feedback,subj_teacher_feedback,overall_feedback
63d22df41d29158c329edafb,8,5.8,3.2
657739c660d69f8da03d6997,0,5.4,1.4
65789315adf1e034339ce883,10,7.4,4.9
657c1e242300845eee50d775,0,3.6,3.9
657dd24eebf1c91c97165198,5,4,9.1
65815d3b22923bc5b3f0c766,10,5,10
65815dad22923bc5b3f0c778,4,5.2,2.1
65815e2422923bc5b3f0c78a,6,5.8,5.3
65815ee222923bc5b3f0c79c,3,6.2,1.5
65815f2222923bc5b3f0c7ae,9,4.6,5.5
65815f9322923bc5b3f0c7c0,4,5.4,9.5
65815fe622923bc5b3f0c7d2,1,6.2,8.2
658160b722923bc5b3f0c808,0,5.6,9.6
6581610622923bc5b3f0c81a,7,6.4,7.8
6581613b22923bc5b3f0c82c,6,6.4,3.2
658161b322923bc5b3f0c83e,1,3.6,7.4
658161f622923bc5b3f0c850,4,3.8,5
6581622f22923bc5b3f0c862,5,4.6,3.6
6581627822923bc5b3f0c874,10,6.2,6.1
658162ac22923bc5b3f0c886,10,4.4,3.7
6581631b22923bc5b3f0c8aa,10,4,1.4
658163b022923bc5b3f0c8bc,2,4.8,0
658163e922923bc5b3f0c8ce,5,5.8,8.7
6581641822923bc5b3f0c8e0,7,3.4,8.3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2D431AED,9,3,9.8
F5B13D7C,2,5.8,1.6
7ACF7319,1,5.4,6.7
F11B17DB,7,4.2,7.7
EAC351B0,7,4.6,6.9
5DE2ED70,5,3.6,0
DCFD7DC6,7,4.6,7.5
2AA5CAE5,2,5.4,1.6
11A13BAC,3,6.4,7
DC4E3DD5,6,3.8,0.9
999C7F5E,10,4.8,10
BCC6A5CE,2,6.4,9
19EBA769,6,6.8,8.7
0B688AA8,8,6.6,1.1
ED576B6E,6,3.8,2
FBADCFEE,7,5.6,7.1
0FAC7DFF,10,3.8,0.9
226F0E6E,10,4.4,9.3
6EB04E76,1,3.4,1.9
9D5FF7B4,0,4.8,2.4
AF7ED2A1,8,5.4,5.6
B39AB7FC,6,3.4,1.2
805E172F,7,4.6,5.8
3769A73E,5,3.8,1
EB4AFE0D,6,5.6,1.9
8DC10D9D,3,4.6,1
CEE7B910,1,4.4,2.5
350B6E87,4,3.8,3.5
3B5F62DA,7,5.4,0.2
FFDB9870,4,4.6,8.2
46B91391,1,4.6,3.4
8F328FDB,1,2.4,9.6
AF0AC2C9,4,5.4,2.6
BCE1FEB3,3,5.8,7.1
6B05DA90,3,6.2,1.6
A1B3A512,0,6.2,1
1FA64EB5,9,6.2,5
FBE81DBE,1,4.6,6.6
CE25FBEE,9,5.6,3.9
3C553E9D,7,4,9.9
088DAEBF,5,8.2,2.1
2214AFC3,1,3.4,7.4
6475ACAC,10,4,9.4
A69F4C0C,1,3.4,9.2
0EA17627,3,6.2,7.6
D70B39BC,10,5,3.2
BC11FD00,7,4.8,6.9
6D4B3C5E,7,4.2,9.2
0E41DA5F,2,5.6,1.8
85F7AFA8,6,5.8,4.3
8F7D6AFC,0,3.8,0.2
DACFDEB6,0,2.8,6
F0F4E335,5,6.8,0.4
FF9764D6,5,3.6,4.8
5D2A84EB,6,3.2,9.8
2BFCD0AC,6,6,4.3
D7CA36EF,1,2.6,2.8
EBA1675B,5,5.8,7.9
A5CF9B55,7,2.6,3.8
8064359A,9,3.8,5.5
ED01EEBF,1,7,10
D680F9C2,7,2.8,9.9
4FAABDCB,0,5.6,4.2
